Environment,DB Name,System Date,Status,Start Time,End Time,Duration,Last Working Date,Next Working Day,,,,,,,,
Production,t24prddb,12-Jun-23,Completed,12/6/2023 0:00,12/6/2023 1:28,1:28:07,11-Jun-23,13-Jun-23,,,,,,,,
,,,,,,,,,,,,,,,,
Stage,Start_Time,End_Time,Elasped,,,,,,,,,,,,,
S020,SHQ/SYSTEM.LIMIT.EOD,JLMT.REP.EXPIRED.PRINT,20230611,0:40:35,0:42:13,0:01:38,1,0,,,,,,,,
D250,SHQ/AA.SOD.PROCESS,AA.CREATE.NAU.ACTIVITIES,20230611,1:24:33,1:25:58,0:01:25,33,23,,,,,,,,
S020,SHQ/SYSTEM.LIMIT.EOD,LIMIT.PROCESS.EXPIRY,20230611,0:39:37,0:40:35,0:00:58,44703,46244,,,,,,,,
S040,SHQ/SYSTEM.END.OF.DAY5,EOD.CRF.PL.UPDATE,20230611,0:53:42,0:54:32,0:00:50,7571,9085,,,,,,,,
S040,SHQ/SYSTEM.END.OF.DAY5,EOD.CRF.AL.UPDATE,20230611,0:45:16,0:46:04,0:00:48,11891,14863,,,,,,,,
A050,SHQ/EB.CUSTOMER.STATIC.BUILD,EOD.BUILD.COMP.CUST.CHANGES,20230611,0:02:09,0:02:56,0:00:47,74822,95517,,,,,,,,
S040,SHQ/SYSTEM.END.OF.DAY5,STATIC.CHANGES,20230611,0:43:50,0:44:32,0:00:42,43371,60517,,,,,,,,
R999,SHQ/REPORT.PRINT.REPORTING,EB.EOD.REPORT.PRINT,20230611,1:14:25,1:15:06,0:00:41,22,32,,,,,,,,
S040,SHQ/SYSTEM.END.OF.DAY5,RE.STATIC.CHANGE,20230611,0:44:33,0:45:13,0:00:40,50941,74547,,,,,,,,
S010,SHQ/AC.SYS.END.OF.DAY,EB.EOD.CUST.CHARGE,20230611,0:04:46,0:05:19,0:00:33,36959,65221,,,,,,,,
D002,SHQ/CUS.FILE.TIDY.UP,CLEAR.CUSTOMER.ACT.HIST,20230611,1:15:13,1:15:46,0:00:33,76116,138392,,,,,,,,
A050,SHQ/CUSTOMER.PURGE,CUSTOMER.PURGE,20230611,0:02:10,0:02:43,0:00:33,74653,131740,,,,,,,,
,,,,,,,,,,,,,,,,
Top 20 COB Jobs for Email,,,,,,,,,,,,,,,,
Batch Name,Job Name,Start Time,End Time,Elapsed,,,,,,,,,,,,
SHQ/AA.EOD.PROCESS,AA.SERVICE.PROCESS,0:07:48,0:39:22,0:31:34,,,,,,,,,,,,
SHQ/SASIMA.DAILY.EXTRACT.EOD,DFE.OUTWARD.FILE.EXTRACT,0:58:05,1:13:42,0:15:37,,,,,,,,,,,,
SHQ/AA.SOD.PROCESS,AA.SERVICE.PROCESS,1:17:03,1:24:22,0:07:19,,,,,,,,,,,,
SHQ/SYSTEM.END.OF.DAY5,EOD.RE.PROFIT.LOSS,0:49:07,0:53:30,0:04:23,,,,,,,,,,,,
SHQ/SYSTEM.END.OF.DAY5,EOD.CREATE.SPEC.ENT.KEY,0:46:08,0:48:52,0:02:44,,,,,,,,,,,,
SHQ/AC.STMT.UPDATE,PRINT.ACCOUNT.STMT,0:55:18,0:57:34,0:02:16,,,,,,,,,,,,
SHQ/SOD.AVAILABLE.FUNDS,SOD.CASHFLOW.UPDATE,1:26:41,1:28:33,0:01:52,,,,,,,,,,,,
SHQ/AA.EOD.PROCESS,AA.DELETE.NAU.ACTIVITIES,0:05:54,0:07:46,0:01:52,,,,,,,,,,,,
SHQ/SYSTEM.LIMIT.EOD,JLMT.REP.EXPIRED.PRINT,0:40:35,0:42:13,0:01:38,,,,,,,,,,,,
SHQ/AA.SOD.PROCESS,AA.CREATE.NAU.ACTIVITIES,1:24:33,1:25:58,0:01:25,,,,,,,,,,,,
SHQ/SYSTEM.LIMIT.EOD,LIMIT.PROCESS.EXPIRY,0:39:37,0:40:35,0:00:58,,,,,,,,,,,,
SHQ/SYSTEM.END.OF.DAY5,EOD.CRF.PL.UPDATE,0:53:42,0:54:32,0:00:50,,,,,,,,,,,,
SHQ/SYSTEM.END.OF.DAY5,EOD.CRF.AL.UPDATE,0:45:16,0:46:04,0:00:48,,,,,,,,,,,,
SHQ/EB.CUSTOMER.STATIC.BUILD,EOD.BUILD.COMP.CUST.CHANGES,0:02:09,0:02:56,0:00:47,,,,,,,,,,,,
SHQ/SYSTEM.END.OF.DAY5,STATIC.CHANGES,0:43:50,0:44:32,0:00:42,,,,,,,,,,,,
SHQ/REPORT.PRINT.REPORTING,EB.EOD.REPORT.PRINT,1:14:25,1:15:06,0:00:41,,,,,,,,,,,,
SHQ/SYSTEM.END.OF.DAY5,RE.STATIC.CHANGE,0:44:33,0:45:13,0:00:40,,,,,,,,,,,,
SHQ/CUSTOMER.PURGE,CUSTOMER.PURGE,0:02:10,0:02:43,0:00:33,,,,,,,,,,,,
SHQ/CUS.FILE.TIDY.UP,CLEAR.CUSTOMER.ACT.HIST,1:15:13,1:15:46,0:00:33,,,,,,,,,,,,
SHQ/AC.SYS.END.OF.DAY,EB.EOD.CUST.CHARGE,0:04:46,0:05:19,0:00:33,,,,,,,,,,,,
